Student / Document Name,Product Name,Cost,Weight (Kgs),Amount Per Bird,Link
Chicken foods,NRM Peck ‘n ´ Lay pellets,33.94,20Kg,around 120g per bird,https://shop.farmlands.co.nz/products/nrm-peck-n-lay-pellets-20kg
Chicken foods,Topflite Chicken Scratch & Lay 20kg,52.98,20kg,Around 120g,https://www.mitre10.co.nz/shop/topflite-chicken-scratch-lay-20kg/p/318560
Chicken foods,NRM Chook Tucker Poultry and Bird Feed,35.95,20,around 120g,https://www.mitre10.co.nz/shop/nrm-chook-tucker-poultry-and-bird-feed-20kg/p/2026662
Copy of Chick food cost break down,NRM Peck'n'Lay Pellets 20kg,$33.34,20kg bag,125g to 130g per bird a day,https://shop.farmlands.co.nz/products/nrm-peck-n-lay-pellets-20kg?srsltid=AfmBOop7Aykj-0ENVP3gHnns929PFmzUl2CJpns89Cvbw-mLKZcsy_0cUIM
Copy of Chick food cost break down,Topflite Scratch N Lay 20kg,$44.00-51.93,20kg bag,Doesn't say how much per bird,Not provided
Copy of Chick food cost break down,Reliance Free Range Pellets 25kg,$42.39,25kg bag,Doesn't say how much per bird,Not provided
Copy of Chiken food,Peck n lay Miter 10,33.90,20,Not provided,https://www.mitre10.co.nz/shop/nrm-peck-n-lay-poultry-and-bird-feed-pellets-20kg/p/2026660
Copy of Chiken food,Chook tucker,35.98,20,Not provided,https://shop.farmlands.co.nz/products/nrm-chook-tucker-20kg?srsltid=AfmBOooNZ7OnZbVO9pqFU8NQ6NwcSkzyZHg2fP9AvQiOT-GGT8_Cqczi
Copy of Chiken food,Peck n lay pgg wrightson,35.99,20,Not provided,https://store.pggwrightson.co.nz/nrm-pecknlay-pellets-20-kg-111093
Ruby,Peck’n’lay laying pellets,$33.90,20 Kg,125g-130g Per bird,https://www.mitre10.co.nz/shop/nrm-peck-n-lay-poultry-and-bird-feed-pellets-20kg/p/2026660?srsltid=AfmBOorZAS0h9LsK3BaGBChsFmiCUXj4FbK5xZ6uTnj_XC0hqlpImCKr
Ruby,Value Poultry laying pellets,$17-$20,10 Kg,120g-140g Per bird,https://www.paknsave.co.nz/shop/product/5220021_ea_000pns?name=value-poultry-laying-pellets&srsltid=AfmBOoqZni6oTgZ0v2L2md
Ruby,Barnyard layer pellets,$33.99,20 Kg,125g per bird,https://store.pggwrightson.co.nz/barnyard-layer-pellets-00962?srsltid=AfmBOopvlQU-esitsuUIU0hQLy1jsC_ZiUP9isdK0PldCfJs61UUHSdA
Copy of We all like chickens right,Feed from PAK'nSAVE,16.99 (usually 20),10kg,Not provided,Not provided
Saviour,No data provided,No data,No data,No data,No data
